Genus_spp,Orientation,current,Habitat_Type,os_ht,median_dens,mean_dens,sd_dens,max_dens,min_dens,cluster,os
Semicossyphus pulcher,Parallel,Down-current,High Ecotone,East Parallel Ecotone_High,0.78125,1.4322916666666667,1.6931635460169245,4.6875,0,Group 1,Inshore
Semicossyphus pulcher,Parallel,Down-current,Low Ecotone,East Parallel Ecotone_Low,0.78125,1.0416666666666667,1.2164046002523796,3.125,0,Group 1,Inshore
Semicossyphus pulcher,Parallel,Down-current,Medium Ecotone,East Parallel Ecotone_Medium,1.5625,1.953125,1.3531646934131853,4.6875,0,Group 1,Inshore
Semicossyphus pulcher,Parallel,Down-current,Medium Relief,East Parallel Mid_Medium,0.43533490599476693,0.7404041208839408,0.9537252083149655,3.0990985122044172,0,Group 1,Inshore
Semicossyphus pulcher,Parallel,Down-current,Low Relief,East Parallel Mid_Low,0,0.47569752830672046,1.117337491664971,3.133098657193006,0,Group 2,Inshore
Semicossyphus pulcher,Parallel,Up-current,Low Ecotone,West Parallel Ecotone_Low,1.5625,1.3020833333333333,1.304448609276128,3.125,0,Group 2,Offshore
Semicossyphus pulcher,Parallel,Up-current,Medium Ecotone,West Parallel Ecotone_Medium,1.5625,1.4322916666666667,1.8195314888770546,6.25,0,Group 2,Offshore
Semicossyphus pulcher,Perpendicular,Down-current,Low Relief,East Perpendicular Mid_Low,0.5360386151544724,0.9499019526632285,1.2186173125918172,3.0149379758259416,0,Group 2,East
Semicossyphus pulcher,Perpendicular,Up-current,High Ecotone,West Perpendicular Ecotone_High,1.5625,1.8229166666666667,1.176207269857939,3.125,0,Group 2,West
Semicossyphus pulcher,Parallel,Down-current,High Relief,East Parallel Mid_High,3.8253632606629147,4.143162755466405,1.5075819425252446,7.186674356087952,1.6359444712096567,Group 3,Inshore
Semicossyphus pulcher,Parallel,Up-current,Low Relief,West Parallel Mid_Low,0,0.6595429628948161,0.8961995947978394,2.5756612396593823,0,Group 3,Offshore
Semicossyphus pulcher,Perpendicular,Down-current,Low Ecotone,East Perpendicular Ecotone_Low,1.5625,2.0833333333333335,0.8068715304598785,3.125,1.5625,Group 3,East
Semicossyphus pulcher,Perpendicular,Down-current,Medium Ecotone,East Perpendicular Ecotone_Medium,3.125,2.8645833333333335,2.0768127122267592,6.25,0,Group 3,East
Semicossyphus pulcher,Perpendicular,Down-current,Medium Relief,East Perpendicular Mid_Medium,1.3678977110679988,1.1480913076068149,0.9986487690171171,2.591209238118707,0,Group 3,East
Semicossyphus pulcher,Perpendicular,Up-current,Low Ecotone,West Perpendicular Ecotone_Low,0.78125,1.8229166666666667,2.503253091812066,6.25,0,Group 3,West
Semicossyphus pulcher,Perpendicular,Up-current,Low Relief,West Perpendicular Mid_Low,2.4998274821537305,2.7090528934967892,2.6272654404221094,6.076989597395379,0,Group 3,West
Semicossyphus pulcher,Parallel,Up-current,High Ecotone,West Parallel Ecotone_High,1.5625,1.953125,2.319954967480266,6.25,0,Group 4,Offshore
Semicossyphus pulcher,Parallel,Up-current,High Relief,West Parallel Mid_High,0,0.3698173750374225,0.6956798309166711,1.9810436616692069,0,Group 4,Offshore
Semicossyphus pulcher,Parallel,Up-current,Medium Relief,West Parallel Mid_Medium,4.2728722416913865,4.284012856778308,3.411208626590096,12.750308505493583,0,Group 4,Offshore
