Genus_spp,Code,n,measured,min_length,max_length,mean_length,sd_length,median_length,mods_obs
Chromis punctipinnis,Blacksmith,6030,6006,62.96972,232.10181,145.42392651348652,16.983049225393646,146.15125,18
Paralabrax clathratus,Kelp Bass,482,422,130.22391,461.90862,277.6981781516588,54.154366682920234,270.55843,18
Oxyjulis californica,Senorita,476,461,102.75187,224.34453,169.01383952277658,21.203980681192608,167.154,15
Semicossyphus pulcher,California Sheephead,313,284,44.72919,670.80698,259.68859450704224,78.10070027447624,248.14182,18
Embiotoca jacksoni,Black Perch,191,162,53.97539,259.58559,160.0645972839506,30.126778455352856,157.51745499999998,18
Hypsurus caryi,Rainbow Seaperch,117,106,98.08531,197.18663,145.56049160377358,22.447944475131926,140.72896500000002,15
Paralabrax nebulifer,Barred Sand Bass,109,97,153.37876,407.67245,264.2126174226804,54.07958656816743,262.00514,18
Girella nigricans,Opaleye,87,70,140.9559,457.41752,296.0324707142857,62.86963302923334,290.06130499999995,17
Damalichthys vacca,Pile Perch,73,60,135.82893,287.85233,186.055299,37.5860333734509,176.393755,17
Sebastes serranoides,Olive Rockfish,58,50,123.78,196.93112,161.997556,14.139007245718837,164.169875,13
Halichoeres semicinctus,Rock Wrasse,31,28,186.09933,283.13287,225.32475571428571,21.337335465909312,224.47096,12
Hyperprosopon ellipticum,Silver Surfperch,22,22,145.15979,252.29405,172.56278090909092,22.655774084149037,170.28555,6
Sebastes miniatus,Vermilion Rockfish,22,20,47.20738,83.08715,63.3162335,11.201729668429865,60.80343,8
Medialuna californiensis,Halfmoon,16,16,195.00445,305.9735,239.254128125,33.17950303562814,233.40144500000002,4
Rhacochilus toxotes,Rubberlip Seaperch,15,10,216.54233,359.01131,301.700638,41.91840129645023,302.474325,3
Caulolatilus princeps,Ocean Whitefish,11,10,228.80978,438.97019,325.742339,70.98667872081815,328.85763,7
Hypsypops rubicundus,Garibaldi,10,9,162.04874,323.18812,218.37126777777777,54.56591722643467,202.17252,7
Oxylebius pictus,Painted Greenling,8,6,75.73858,158.88417,116.12495166666668,38.58419403069678,117.86513500000001,5
Brachyistius frenatus,Kelp Perch,6,4,55.34435,132.18323,80.99489,35.52996983820936,68.22599,2
Cymatogaster aggregata,Shiner Perch,5,5,105.48446,148.80718,128.086356,17.964654242008947,124.38313,2
Hermosilla azurea,Zebraperch,5,4,135.34923,172.24462,151.58703500000001,18.453183621197542,149.37714499999998,3
Anisotremus davidsonii,Sargo,4,4,166.83915,307.45528,237.7206,59.09293649110527,238.29398500000002,2
Embiotoca lateralis,Striped Seaperch,3,3,259.62055,324.31915,296.3222866666666,33.21608533981742,305.02716,2
Paralabrax maculatofasciatus,Spotted Sand Bass,3,1,221.67186,221.67186,221.67186,NA,221.67186,3
Cheilotrema saturnum,Black Croaker,2,2,117.66298,230.86468,174.26382999999998,80.04568971184518,174.26382999999998,2
Hyperprosopon argenteum,Walleye Surfperch,2,2,167.72646,174.30667,171.01656500000001,4.652911112631528,171.01656500000001,2
Rhinogobiops nicholsii,Blackeye Goby,2,NA,NA,NA,NA,NA,NA,2
Artedius corallinus,Coralline Sculpin,1,1,197.62268,197.62268,197.62268,NA,197.62268,1
Sebastes dallii,Calico Rockfish,1,1,181.87506,181.87506,181.87506,NA,181.87506,1
Sebastes melanops,Black Rockfish,1,NA,NA,NA,NA,NA,NA,1
Sebastes mystinus,Blue Rockfish,1,1,39.05911,39.05911,39.05911,NA,39.05911,1
