Module,mean_sr_all,sd_sr_all,max_sr_all,min_sr_all,mean_sr_focal,sd_sr_focal,max_sr_focal,min_sr_focal
2A,5.583333333333333,1.6764862244009227,8,3,5.416666666666667,1.5050420310248864,8,3
2B,4.833333333333333,1.3371158468430429,7,3,4.5,1.381698559415515,7,3
2C,5.083333333333333,1.781640374554423,8,2,4.25,1.6583123951777,7,2
4B,3.6666666666666665,1.3706888336846839,7,2,3.4166666666666665,0.90033663737852,5,2
4C,6,1.1281521496355325,7,4,5.5,1.243163121016122,7,3
4D,5.333333333333333,1.7232808737106582,7,2,4.916666666666667,1.5642792899510294,7,2
5A,4.833333333333333,2.124888588879783,8,2,4.5,1.834021909257456,7,2
5B,2.5,1.5075567228888183,5,1,2.0833333333333335,1.164500152881315,5,1
5C,4.166666666666667,1.6966991126265962,7,1,3.75,1.2880570286640687,6,1
6A,3.6666666666666665,1.0730867399773196,5,2,3.5,1.243163121016122,5,1
6C,4.666666666666667,1.775250729197189,8,2,4.166666666666667,1.6966991126265962,7,1
6D,3.8333333333333335,1.3371158468430429,6,2,3.4166666666666665,1.378954368902449,6,2
7A,4.166666666666667,2.367712103711219,8,1,3.5,1.9306145983268455,6,0
7B,4.75,1.4847711791873706,8,3,4.333333333333333,1.3026778945578592,7,3
7C,4.75,1.2154310870109943,6,2,4.333333333333333,1.3026778945578592,6,2
8A,4.75,1.9598237397554634,9,3,4.25,1.864744681524183,7,2
8B,4.916666666666667,1.4433756729740645,7,2,4.75,1.4847711791873706,7,2
8C,5.75,1.864744681524183,9,3,5.333333333333333,1.775250729197189,8,3
