cluster,Orientation,current,Habitat_Type,mean_sr_focal,sd_sr_focal,max_sr_focal,min_sr_focal,median_sr_focal
Group 1,Perpendicular,Down-current,High Ecotone,4.666666666666667,1.3662601021279464,6,3,5
Group 2,Parallel,Up-current,High Ecotone,4.583333333333333,1.3113721705515067,6,2,4.5
Group 2,Parallel,Up-current,High Relief,4,1.7580981459830651,7,2,4
Group 2,Parallel,Up-current,Low Ecotone,3.8333333333333335,1.403458930534474,6,2,4
Group 2,Parallel,Up-current,Medium Relief,4.916666666666667,1.5050420310248864,7,3,5
Group 2,Perpendicular,Down-current,High Relief,6.166666666666667,1.6020819787597222,7,3,7
Group 2,Perpendicular,Down-current,Low Ecotone,4.833333333333333,1.9407902170679516,7,2,5.5
Group 2,Perpendicular,Up-current,Medium Ecotone,4.666666666666667,0.816496580927726,6,4,4.5
Group 2,Perpendicular,Up-current,Medium Relief,6.166666666666667,0.752772652709081,7,5,6
Group 3,Parallel,Down-current,High Relief,5.083333333333333,1.164500152881315,7,3,5
Group 3,Perpendicular,Down-current,Medium Ecotone,4,1.7888543819998317,7,2,3.5
Group 3,Perpendicular,Up-current,High Ecotone,4.5,2.073644135332772,8,2,4.5
Group 3,Perpendicular,Up-current,Low Ecotone,3.8333333333333335,1.7224014243685084,7,2,3.5
Group 3,Perpendicular,Up-current,Low Relief,5.166666666666667,1.9407902170679516,8,3,4.5
Group 4,Parallel,Down-current,High Ecotone,3.3333333333333335,2.1461734799546393,7,0,3
Group 4,Parallel,Up-current,Low Relief,4.25,1.2880570286640687,6,2,4.5
Group 4,Parallel,Up-current,Medium Ecotone,3.3333333333333335,1.4354811251305468,6,1,3.5
Group 4,Perpendicular,Down-current,Low Relief,4,1.0954451150103321,6,3,4
Group 4,Perpendicular,Down-current,Medium Relief,4.666666666666667,1.0327955589886444,6,3,5
Group 4,Perpendicular,Up-current,High Relief,4.166666666666667,1.1690451944500122,6,3,4
Group 5,Parallel,Down-current,Low Ecotone,3.5833333333333335,1.5642792899510294,6,2,3
Group 5,Parallel,Down-current,Low Relief,2.75,1.6583123951777,6,1,3
Group 5,Parallel,Down-current,Medium Ecotone,3.8333333333333335,1.80067327475704,7,1,3
Group 5,Parallel,Down-current,Medium Relief,4,1.5954480704349312,6,1,4
