Genus_spp,Orientation,current,Habitat_Type,os_ht,median_dens,mean_dens,sd_dens,max_dens,min_dens,cluster,os
Semicossyphus pulcher,Perpendicular,Up-current,High Relief,West Perpendicular Mid_High,2.4052010134316353,3.056876234871706,3.145175940843693,7.863435209979139,0,Group 1,West
Semicossyphus pulcher,Perpendicular,Down-current,High Ecotone,East Perpendicular Ecotone_High,3.125,5.208333333333333,5.4724689735682075,15.625,0,Group 2,East
Semicossyphus pulcher,Parallel,Down-current,High Ecotone,East Parallel Ecotone_High,1.5625,2.8645833333333335,3.386327092033849,9.375,0,Group 3,Inshore
Semicossyphus pulcher,Parallel,Down-current,Low Ecotone,East Parallel Ecotone_Low,0,1.8229166666666667,2.478004565933622,6.25,0,Group 3,Inshore
Semicossyphus pulcher,Parallel,Down-current,Medium Ecotone,East Parallel Ecotone_Medium,3.125,3.6458333333333335,2.608897218552256,9.375,0,Group 3,Inshore
Semicossyphus pulcher,Parallel,Down-current,Medium Relief,East Parallel Mid_Medium,0.8706897335160366,1.4808179333187157,1.9074300443531158,6.19805596101882,0,Group 3,Inshore
Semicossyphus pulcher,Parallel,Down-current,Low Relief,East Parallel Mid_Low,0,0.9514511844162508,2.2348031412739524,6.266485961915129,0,Group 4,Inshore
Semicossyphus pulcher,Parallel,Up-current,Low Ecotone,West Parallel Ecotone_Low,1.5625,2.34375,2.7063293868263707,6.25,0,Group 4,Offshore
Semicossyphus pulcher,Parallel,Up-current,Medium Ecotone,West Parallel Ecotone_Medium,3.125,2.8645833333333335,3.6390629777541093,12.5,0,Group 4,Offshore
Semicossyphus pulcher,Perpendicular,Down-current,Low Relief,East Perpendicular Mid_Low,1.072112012793969,1.8998234529095792,2.4373207397500125,6.0302214290858895,0,Group 4,East
Semicossyphus pulcher,Perpendicular,Up-current,High Ecotone,West Perpendicular Ecotone_High,3.125,3.6458333333333335,2.352414539715878,6.25,0,Group 4,West
Semicossyphus pulcher,Parallel,Down-current,High Relief,East Parallel Mid_High,7.6508588320427515,8.286295920168717,3.0150717251280486,14.373295086471728,3.271737528630673,Group 5,Inshore
Semicossyphus pulcher,Parallel,Up-current,Low Relief,West Parallel Mid_Low,0,1.319147872904057,1.7925170200828913,5.1517841468160475,0,Group 5,Offshore
Semicossyphus pulcher,Perpendicular,Down-current,Low Ecotone,East Perpendicular Ecotone_Low,3.125,4.166666666666667,1.613743060919757,6.25,3.125,Group 5,East
Semicossyphus pulcher,Perpendicular,Down-current,Medium Ecotone,East Perpendicular Ecotone_Medium,6.25,5.729166666666667,4.1536254244535185,12.5,0,Group 5,East
Semicossyphus pulcher,Perpendicular,Down-current,Medium Relief,East Perpendicular Mid_Medium,2.7357721168892866,2.2962098777483804,1.9973699932856301,5.182694230321005,0,Group 5,East
Semicossyphus pulcher,Perpendicular,Up-current,Low Ecotone,West Perpendicular Ecotone_Low,1.5625,3.6458333333333335,5.006506183624132,12.5,0,Group 5,West
Semicossyphus pulcher,Perpendicular,Up-current,Low Relief,West Perpendicular Mid_Low,4.99982729470652,5.418041401252044,5.254426766077096,12.154002506640293,0,Group 5,West
Semicossyphus pulcher,Parallel,Up-current,High Ecotone,West Parallel Ecotone_High,3.125,3.90625,4.639909934960532,12.5,0,Group 6,Offshore
Semicossyphus pulcher,Parallel,Up-current,High Relief,West Parallel Mid_High,0,0.7396573719465921,1.3914099660713604,3.9622516602828632,0,Group 6,Offshore
Semicossyphus pulcher,Parallel,Up-current,Medium Relief,West Parallel Mid_Medium,8.546000234428629,8.568205861489469,6.822628152209214,25.501651196860085,0,Group 6,Offshore
Semicossyphus pulcher,Perpendicular,Down-current,High Relief,East Perpendicular Mid_High,11.056316012713095,11.906874244049066,7.72556013820078,20.76663030671672,1.9174467618444613,Group 6,East
